Sentence,Subject,Object,Relation in Sentence,RO- Manual- Relation
"by altering the glucagon/insulin balance, it is conceivable that supplemental intakes of key non-essential amino acids could enable omnivores to enjoy some of the health advantages of a vegan diet.",key non-essential amino acids,health advantages,enjoy,enables
"critically, age accumulation is also directly affected by our lifestyle choices and shows a race-specific, tumor-dependent pattern of accumulation in cancer patients.",age accumulation,lifestyle choices,is affected by,affected
increased body mass index was not associated with lvi.,increased body mass index,lvi,was not associated,not associated
"by altering the glucagon/insulin balance, it is conceivable that supplemental intakes of key non-essential amino acids could enable omnivores to enjoy some of the health advantages of a vegan diet.",key non-essential amino acids,glucagon/insulin balance,by altering,alters
an alteration of the normal microbiota increases predisposition of the host to diseases through these four mechanisms.,alteration of the normal microbiota,predisposition of the host to diseases,increases,"causally upstream of, positive effect"
"intentional weight loss may protect against cancer development, and therapies for diabetes may prove to be effective adjuvant agents in reducing cancer progression.",intentional weight loss,cancer development,may protect,protects
"in a multivariate analysis, bmi was an independent predictor of survival (p=0.02).",bmi,independent predictor of survival,was an,is a
"acting on hepatocytes, glucagon promotes (and insulin inhibits) camp-dependent mechanisms that down-regulate lipogenic enzymes and cholesterol synthesis, while up-regulating hepatic ldl receptors and production of the igf-i antagonist igfbp-1.",insulin,camp-dependent mechanisms,inhibits,inhibits
low n-3 pufa intake has been associated with the presence of nafld.,low n-3 pufa intake,presence of nafld,has been associated,associated
"after 11 years of follow up via linkage to the population-based cause of death registry, we identified 1,161 (37%) deaths off which 690 (59%) were due to prostate cancer.",death,prostate cancer,due to,produced by
"in particular, nutrition seems to be at the core of obesity in children.",nutrition,obesity in children,to be at the core of,associated
"to support proliferation and survival under stress, two interacting complexes that harbor mtor, mtorc1 and mtorc2, promote the transcription of genes involved in carbohydrate metabolism and lipogenesis, enhance protein translation, and inhibit autophagy.","two interacting complexes that harbor mtor, mtorc1 and mtorc2",autophagy,inhibit,inhibits
"intentional weight loss may protect against cancer development, and therapies for diabetes may prove to be effective adjuvant agents in reducing cancer progression.",therapies for diabetes,cancer progression,may prove to be effective adjuvant agents in reducing,"causally upstream of, negative effect"
results: the association between plasma crp levels and breast cancer risk was dependent on hormone therapy (ht) use at baseline (p interaction = .003).,association between plasma crp levels and breast cancer risk,hormone therapy,was dependent on,depends on
"among premenopausal women, a number of epidemiological studies in western populations suggested a weak inverse association between bmi and breast cancer risk.",bmi,breast cancer risk,weak inverse association,associated
"results: the multivariate linear regression models showed that d-ihf was best predicted by homa-ir (beta coefficient(per doubling): 2.410, 95% ci: 1.093, 5.313) and adiponectin (β(per doubling): 0.197, 95% ci: 0.058, 0.667), but not by anthropometrics.",d-ihf,anthropometrics,but not by,not predicted
"risk of many other degenerative disorders may be decreased in vegans, although reduced growth factor activity may be responsible for an increased risk of hemorrhagic stroke.",vegans,risk of degenerative disorders,may be decreased,"causally upstream of, negative effect"
"risk of many other degenerative disorders may be decreased in vegans, although reduced growth factor activity may be responsible for an increased risk of hemorrhagic stroke.",reduced growth factor activity,risk of hemorrhagic stroke,may be responsible,responsible of
"conclusion: although obesity had no effect on recurrence pattern of early breast cancer patients, obese early breast cancer patients had shorter os compared to their normal-weight counterparts.",obesity,recurrence pattern of early breast cancer patients,had no effect,not associated
results: the association between plasma crp levels and breast cancer risk was dependent on hormone therapy (ht) use at baseline (p interaction = .003).,plasma crp levels,breast cancer risk,the association between,associated
nutritional deficiencies have been described in fm patients and the benefits of specific diet and nutritional supplementation are shown.,nutritional deficiencies,fm patients,have been described in,associated
"numerous epidemiological studies, although not all, in western countries have reported a possible differential impact of bmi on breast cancer risk in women of various lifestages.",epidemiological studies in western countries,impact of bmi on breast cancer risk in women of various lifestages,have reported,determines
"when examining bmi strata (underweight, ideal, overweight, and obese), we observed a statistical trend between increasing bmi and poor outcome.",increasing bmi,poor outcome,observed a statistical trend,correlated with
"conclusions: our findings show ihf is associated with measures of insulin resistance, but not measures of visceral adiposity.",ihf,measures of visceral adiposity,but not,not associated
"overall, 90 patients underwent optimal resection and bmi did not correlate with ability to perform optimal scs (p=0.25).",bmi,ability to perform optimal scs,did not correlated,not correlated with
"conclusion: although obesity had no effect on recurrence pattern of early breast cancer patients, obese early breast cancer patients had shorter os compared to their normal-weight counterparts.",obese early breast cancer patients,shorter os compared to their normal-weight counterparts,had,has
the composition of dietary protein therefore has the potential to influence the balance of glucagon and insulin activity.,dietary protein,balance of glucagon and insulin activity,influence,causally influences
"critically, age accumulation is also directly affected by our lifestyle choices and shows a race-specific, tumor-dependent pattern of accumulation in cancer patients.",age accumulation,tumor-dependent pattern of accumulation,shows,associated
obese and overweighted patients had significantly shorter overall survival (os) compared to the normal-weight group (p=0.003).,obese and overweighted patients,shorter overall survival compared to the normal-weight,had significantly,has
"inflammatory mediators, together with insulin and estrogen, may play a role in the obesity-breast cancer relation.","inflammatory mediators, insulin and estrogen",obesity-breast cancer relation,may play a role in,has application role
"in summary, this review reveals the potential benefit of specific dietary interventions as non-pharmacological tools as part of a multidisciplinary treatment for fm patients.",specific dietary interventions,multidisciplinary treatment for fm patients,part of,part of
"background: adipokines and inflammation may provide a mechanistic link between obesity and postmenopausal breast cancer, yet epidemiologic data on their associations with breast cancer risk are limited.",adipokines and inflammation,mechanistic link between obesity and postmenopausal breast cancer,may provide,directly provides input for
"following inclusion of crp, insulin, and estradiol in a multivariable model, the association of bmi with breast cancer was attenuated by 115%.",bmi,breast cancer,association of,associated
"although rapamycin was originally developed as an inhibitor of t cell proliferation for preventing organ transplant rejection, its molecular target, mtor, has been subsequently identified as a central regulator of metabolic cues that drive lineage specification in the immune system.",mtor,rapamycin,its,target participant in
"owing to oxidative stress, the activation of mtorc1 has emerged as a central pathway for the pathogenesis of systemic lupus erythematosus and other autoimmune diseases.",oxidative stress,activation of mtorc1,owing,associated
"background: obesity is strongly linked with chronic systemic inflammation, and each has been linked with disease progression and survival in patients with colorectal cancer (crc).",obesity,chronic systemic inflammation,is strongly linked with,associated
"the metabolic abnormalities associated with type 2 diabetes develop many years before the onset of diabetes and, therefore, may be contributing to cancer risk before individuals are aware that they are at risk.",metabolic abnormalities associated with type 2 diabetes,onset of diabetes,develop,produces
"thus, diets featuring vegan proteins can be expected to lower elevated serum lipid levels, promote weight loss, and decrease circulating igf-i activity.",vegan proteins,circulating igf-i activity,decrease,"causally upstream of, negative effect"
non-coeliac gluten sensitivity is increasingly recognised as a frequent condition with similar manifestations which overlap with those of fm.,non-coeliac gluten sensitivity,fm,overlap,overlaps
"all p<.001). obesity (body mass index ≥30 kg/m(2) ) was not found to be associated with os, but appeared to modify the relationships observed with il-8 and ldh, which were associated with a significant 4-fold and 5-fold risk of death, respectively, in obese patients compared with a 2-fold risk of death in nonobese patients (p for interaction of .06 and .04, respectively).",obesity,os,was not found to be associated with,not associated
conclusion: this study showed that a high bmi at time of prostate cancer diagnosis was associated with increased overall mortality.,high bmi,prostate cancer diagnosis,at time of,associated
"among premenopausal women, a number of epidemiological studies in western populations suggested a weak inverse association between bmi and breast cancer risk.",epidemiological studies in western populations,weak inverse association between bmi and breast cancer risk,suggested a,determines
"although rapamycin was originally developed as an inhibitor of t cell proliferation for preventing organ transplant rejection, its molecular target, mtor, has been subsequently identified as a central regulator of metabolic cues that drive lineage specification in the immune system.",mtor,metabolic cues,regulator,regulates
"conclusions: in this cohort of women undergoing scs for recurrent ovarian cancer, bmi significantly and independently correlated with overall survival.",bmi,overall survival in women undergoing scs for recurrent ovarian cancer,correlated,correlated with
the elimination of gluten from the diet of fm patients is recently becoming a potential dietary intervention for clinical improvement.,elimination of gluten,dietary intervenion for clinical improvement,is recently becoming,is a
"background: adipokines and inflammation may provide a mechanistic link between obesity and postmenopausal breast cancer, yet epidemiologic data on their associations with breast cancer risk are limited.",obesity,postmenopausal breast cancer,link between,associated
a vegan diet has documented clinical efficacy in rheumatoid arthritis.,vegan diet,clinical efficacy in rheumatoid arthritis,has documented,associated
"therefore, an increase in body fat after menopause is one of the possible explanations for the positive association of body weight with the development of breast cancer.",increase in body fat after menopause,association of body weight with the development of breast cancer.,is one of the possible explanations,determines
"to support proliferation and survival under stress, two interacting complexes that harbor mtor, mtorc1 and mtorc2, promote the transcription of genes involved in carbohydrate metabolism and lipogenesis, enhance protein translation, and inhibit autophagy.","two interacting complexes that harbor mtor, mtorc1 and mtorc2",protein translation,enhance,improves
"paradoxically, mtorc1 has also been identified as a mediator of the warburg effect that allows cell survival under hypoxia.",warburg effect,cell survival under hypoxia,allows,allows
objectives: obesity may negatively influence tumor biology in women with epithelial ovarian cancers.,obesity,tumor biology in women with epithelial ovarian cancers,may negatively influence,"causally upstream of, negative effect"
"soy protein, as well as many other vegan proteins, are higher in non-essential amino acids than most animal-derived food proteins, and as a result should preferentially favor glucagon production.",soy protein,vegan proteins,as well as,is a
"all p<.001). obesity (body mass index ≥30 kg/m(2) ) was not found to be associated with os, but appeared to modify the relationships observed with il-8 and ldh, which were associated with a significant 4-fold and 5-fold risk of death, respectively, in obese patients compared with a 2-fold risk of death in nonobese patients (p for interaction of .06 and .04, respectively).",obesity,relationships with il-8 and ldh,modify,alters
"in univariate analyses, high bmi was not significantly associated with lvi.",high bmi,lvi,was not significantly associated,not associated
the prevalence of colorectal adenoma was twice as high in patients with metabolic syndrome.,colorectal adenoma,metabolic syndrome,was twice as high in,associated
